"108732","2","1934","NaN","42","CSLG06","BLACK","","NaN","","SF","10","3444","3457","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1935","NaN","43","CSLG06","BLACK","","NaN","","SG","10","3458","3471","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1936","NaN","44","CSLG06","BLACK","","NaN","","SG","10","3472","3485","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1937","NaN","45","CSLG06","BLACK","","NaN","","SG","10","3486","3499","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1938","NaN","46","CSLG06","BLACK","","NaN","","SG","10","3500","3513","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1939","NaN","47","CSLG06","BLACK","","NaN","","SG","10","3514","3527","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1940","NaN","48","CSLG06","BLACK","","NaN","","SG","10","3528","3541","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1941","NaN","49","CSLG06","BLACK","","NaN","","SH","10","3542","3555","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1942","NaN","50","CSLG06","BLACK","","NaN","","SH","10","3556","3569","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1943","NaN","51","CSLG06","BLACK","","NaN","","SH","10","3570","3583","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1944","NaN","52","CSLG06","BLACK","","NaN","","SH","10","3584","3597","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1945","NaN","53","CSLG06","BLACK","","NaN","","SH","10","3598","3611","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1946","NaN","54","CSLG06","BLACK","","NaN","","SH","10","3612","3625","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1947","NaN","55","CSLG06","BLACK","","NaN","","SI","10","3626","3639","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1948","NaN","56","CSLG06","BLACK","","NaN","","SI","10","3640","3653","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1949","NaN","57","CSLG06","BLACK","","NaN","","SI","10","3654","3667","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1950","NaN","58","CSLG06","BLACK","","NaN","","SI","10","3668","3681","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1951","NaN","59","CSLG06","BLACK","","NaN","","SI","10","3682","3695","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1952","NaN","60","CSLG06","BLACK","","NaN","","SI","10","3696","3709","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1953","NaN","61","CSLG06","BLACK","","NaN","","SJ","10","3710","3723","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1954","NaN","62","CSLG06","BLACK","","NaN","","SJ","10","3724","3737","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1955","NaN","63","CSLG06","BLACK","","NaN","","SJ","10","3738","3751","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1956","NaN","64","CSLG06","BLACK","","NaN","","SJ","10","3752","3765","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1957","NaN","65","CSLG06","BLACK","","NaN","","SJ","10","3766","3779","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"108732","2","1958","NaN","66","CSLG06","BLACK","","NaN","","SJ","10","3780","3793","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
